,OverallQual,SalePrice,YearBuilt,YearRemodAdd,MasVnrArea,TotalBsmtSF,1stFlrSF,GrLivArea,FullBath,TotRmsAbvGrd,Fireplaces,GarageYrBlt,GarageCars,GarageArea,Neighborhood_NridgHt,ExterQual_Gd,Foundation_PConc,BsmtFinType1_GLQ
61,5,101000,1920,1996,0,530,581,1111,1,6,0,1935,1,288,0,0,0,0
62,8,202500,2006,2006,178,1370,1370,1370,2,6,1,2006,2,484,1,1,1,1
63,7,140000,1921,1950,0,576,902,1710,2,9,0,1990,2,480,0,0,0,0
64,7,219500,1997,1998,573,1057,1057,2034,2,8,0,1998,2,645,0,0,1,1
65,8,317000,2004,2005,344,1143,1143,2473,2,9,1,2004,3,852,1,1,1,0
66,7,180000,1970,1989,287,1947,2207,2207,2,7,1,1970,2,576,0,0,0,1
67,7,226000,2003,2003,167,1453,1479,1479,2,7,0,2003,2,558,0,1,1,1
68,4,80000,1945,1950,0,747,747,747,1,4,0,1945,1,220,0,0,0,0
69,7,225000,1953,1953,0,1304,1304,2287,2,7,1,1953,2,667,0,1,0,0
70,7,244000,1973,1973,1115,2223,2223,2223,2,8,2,1973,2,516,0,0,0,0
71,4,129500,1982,2006,0,845,845,845,1,4,0,1987,2,360,0,0,0,0
72,7,185000,1998,1998,40,832,885,1718,2,7,1,1998,2,427,0,0,1,0
73,5,144900,1954,2003,104,1086,1086,1086,1,6,0,1989,2,490,0,0,0,0
74,3,107400,1915,1950,0,840,840,1605,2,8,0,1915,1,379,0,1,0,0
75,4,91000,1973,1973,0,462,526,988,1,5,0,1973,1,297,0,0,0,1
76,4,135750,1956,1956,0,952,952,952,1,4,0,1956,1,283,0,0,0,0
77,5,127000,1948,2001,0,672,1072,1285,1,6,0,1948,1,240,0,0,0,0
78,4,136500,1968,1968,0,1768,1768,1768,2,8,0,1927,0,0,0,0,0,0
79,5,110000,1910,1981,0,440,682,1230,1,5,0,1966,2,440,0,0,1,0
80,6,193500,1968,1968,576,896,1182,2142,2,8,1,1968,1,509,0,0,0,0
81,6,153500,1998,1998,443,1237,1337,1337,2,5,0,1998,2,405,0,0,1,1
82,8,245000,2007,2007,468,1563,1563,1563,2,6,1,2007,3,758,0,0,1,1
83,5,126500,1960,1960,66,1065,1065,1065,1,6,0,1974,2,461,0,0,0,0
84,7,168500,1995,1996,22,384,804,1474,2,7,1,1995,2,400,0,0,1,0
85,8,260000,1991,1992,284,1288,1301,2417,2,9,1,1991,2,462,0,1,0,0
86,6,174000,2005,2005,0,684,684,1560,2,6,1,2005,2,400,0,1,1,0
87,6,164500,2009,2009,76,612,612,1224,2,4,0,2009,2,528,0,1,1,0
88,3,85000,1915,1982,0,1013,1013,1526,1,6,0,1927,0,0,0,0,0,0
89,4,123600,1994,1995,0,990,990,990,1,5,0,1927,0,0,0,0,1,1
90,4,109900,1950,1950,0,0,1040,1040,1,4,0,1950,2,420,0,0,0,0
91,5,98600,1961,1961,203,1235,1235,1235,1,6,0,1961,2,480,0,0,0,0
92,5,163500,1921,2006,0,876,964,964,1,5,0,1921,2,432,0,0,0,0
93,6,133900,1910,1998,0,1214,1260,2291,2,9,1,1900,2,506,0,0,0,0
94,6,204750,1997,1997,0,824,905,1786,2,7,0,1997,2,684,0,0,1,1
95,6,185000,1993,1993,68,680,680,1470,2,6,1,1993,2,420,0,0,1,0
96,7,214000,1999,1999,183,1588,1588,1588,2,6,0,1999,2,472,0,1,1,0
97,4,94750,1965,1965,48,960,960,960,1,6,0,1965,1,432,0,0,0,0
98,5,83000,1920,1950,0,458,835,835,1,5,0,1920,1,366,0,0,0,0
99,4,128950,1959,1959,0,950,1225,1225,1,6,0,1927,0,0,0,0,0,0
100,6,205000,1977,2001,28,1610,1610,1610,2,6,2,1977,2,480,0,0,1,0
101,6,178000,1985,1985,336,741,977,1732,2,7,1,1985,2,476,0,1,0,0
102,5,118964,1979,1979,0,0,1535,1535,2,8,0,1979,2,410,0,0,0,0
103,7,198900,2009,2009,0,1226,1226,1226,2,6,0,2009,3,740,0,0,1,0
104,7,169500,1931,1950,600,1040,1226,1818,1,7,2,1951,1,240,0,0,1,0
105,8,250000,2003,2004,768,1053,1053,1992,2,9,1,2003,2,648,0,1,1,0
106,4,100000,1885,1995,0,641,1047,1047,1,6,0,1954,1,273,0,0,0,0
107,5,115000,1948,1950,0,789,789,789,1,5,0,1948,1,250,0,0,0,0
108,5,115000,1919,2005,0,793,997,1517,2,7,0,1927,0,0,0,0,0,0
109,6,190000,1977,1977,480,1844,1844,1844,2,7,1,1977,2,546,0,0,0,0
110,6,136900,1954,1972,0,994,1216,1855,2,7,0,1954,1,325,0,0,0,0
111,7,180000,2000,2000,0,384,774,1430,2,7,1,2000,2,400,0,0,1,1
112,7,383970,2007,2007,220,1264,1282,2696,2,10,1,2007,3,792,0,1,1,1
113,6,217000,1953,1953,184,1809,2259,2259,2,7,2,1953,2,450,0,0,0,0
114,6,259500,1945,2002,0,1028,1436,2320,2,9,1,1945,1,180,0,0,0,0
115,6,176000,1999,1999,1129,729,729,1458,2,5,1,1999,2,440,0,0,1,1
116,5,139000,1962,1962,116,1092,1092,1092,1,6,1,1962,1,288,0,0,0,0
117,5,155000,2006,2007,0,1125,1125,1125,1,5,0,2007,2,430,0,0,1,0
118,7,320000,1990,1990,0,1673,1699,3222,3,11,2,1990,3,594,0,0,1,1
119,6,163990,2005,2006,0,728,728,1456,2,8,1,2005,2,390,0,1,1,0
120,6,180000,1969,1969,0,938,988,988,1,4,2,1969,2,540,0,0,0,0
121,4,100000,1939,1950,0,732,772,1123,1,4,0,1979,1,264,0,0,1,0
122,6,136000,1958,1958,135,1080,1080,1080,1,5,0,1958,1,288,0,0,0,0
123,6,153900,1993,1993,0,1199,1199,1199,2,5,0,1993,2,530,0,1,1,1
124,6,181000,1979,1998,0,1362,1586,1586,2,7,1,1979,2,435,0,0,0,0
125,6,84500,1935,1982,0,520,520,754,1,5,0,1927,0,0,0,0,0,1
126,6,128000,1976,1976,0,1078,958,958,2,5,1,1977,2,440,0,0,0,0
127,5,87000,1930,1950,0,672,840,840,1,5,1,1927,0,0,0,0,0,0
128,6,155000,1966,1966,266,660,660,1348,1,6,1,1966,2,453,0,0,0,0
129,5,150000,1958,1991,85,1008,1053,1053,1,6,0,1998,2,750,0,0,0,0
130,7,226000,1966,1966,309,924,1216,2157,2,8,2,1966,2,487,0,0,0,0
131,6,244000,2000,2000,40,992,1022,2054,2,7,1,2000,2,390,0,1,1,1
132,5,150750,1959,2002,0,1063,1327,1327,1,7,0,1974,2,624,0,0,0,0
133,8,220000,2001,2002,136,1267,1296,1296,2,6,0,2001,2,471,0,1,1,1
134,5,180000,1968,1993,0,1461,1721,1721,2,7,1,1968,2,440,0,0,0,0
135,7,174000,1970,1970,288,1304,1682,1682,2,7,1,1970,2,530,0,0,1,0
136,5,143000,1967,1967,196,1214,1214,1214,2,5,1,1967,1,318,0,0,0,0
137,7,171000,1988,1989,70,1907,1959,1959,3,9,0,1989,3,766,0,0,0,0
138,8,230000,1999,2000,320,1004,1004,1852,2,7,2,1999,3,660,0,1,1,1
139,6,231500,1997,1997,0,928,928,1764,2,7,0,1997,2,470,0,0,1,1
140,4,115000,1971,1971,0,864,864,864,1,5,1,1927,0,0,0,0,0,0
141,7,260000,2005,2005,0,1734,1734,1734,2,7,0,2005,2,660,0,1,1,1
142,5,166000,1952,1952,0,910,910,1385,2,6,0,2000,2,720,0,0,0,0
143,7,204000,1999,1999,183,1490,1501,1501,2,6,0,1999,2,577,0,1,1,1
144,5,125000,1963,1963,336,1728,1728,1728,2,10,0,1963,2,504,0,0,0,0
145,6,130000,2004,2006,50,970,970,1709,2,7,0,2004,2,380,0,1,1,0
146,5,105000,1931,1993,0,715,875,875,1,5,0,1931,1,180,0,0,0,0
147,7,222500,2001,2001,180,884,884,2035,2,8,1,2001,2,434,0,1,1,0
148,7,141000,2004,2005,120,1080,1080,1080,1,6,0,1927,0,0,0,0,1,1
149,5,115000,1936,1950,0,896,896,1344,1,7,0,1936,1,240,0,0,0,0
150,5,122000,1975,1975,0,969,969,969,1,5,0,1975,2,440,0,0,0,0
151,8,372402,2007,2008,436,1710,1710,1710,2,6,1,2007,3,866,1,1,1,1
152,6,190000,1971,1971,252,825,1097,1993,2,8,1,1971,2,495,0,0,0,0
153,6,235000,1960,1975,0,1602,1252,1252,1,4,1,1960,2,564,0,0,0,0
154,6,125000,1923,1950,0,1200,1200,1200,1,7,0,1923,1,312,0,0,0,0
155,6,79000,1924,1950,0,572,572,1096,1,5,0,1927,0,0,0,0,0,0
156,5,109500,1950,1950,0,0,1040,1040,1,5,0,1950,2,625,0,0,0,0
157,8,269500,2009,2010,84,774,774,1968,2,8,1,2009,3,680,0,1,1,0
158,7,254900,2004,2005,0,991,991,1947,2,8,1,2004,2,678,0,1,1,1
159,7,320000,2005,2006,456,1392,1392,2462,2,9,1,2006,2,576,0,1,1,1
160,6,162500,1984,1984,0,1232,1232,1232,2,6,0,1984,2,516,0,0,1,0
161,9,412500,2003,2004,664,1572,1572,2668,2,10,2,2003,3,726,1,1,1,1
162,7,220000,2005,2005,226,1541,1541,1541,2,7,1,2005,2,532,1,1,1,0
163,4,103200,1956,1956,0,882,882,882,1,4,0,1927,0,0,0,0,0,0
164,6,152000,1926,2004,0,1149,1149,1616,2,5,0,1926,1,216,0,0,0,0
165,5,127500,1940,1999,0,644,808,1355,2,6,0,1927,0,0,0,0,0,0
166,5,190000,1955,1993,0,1617,1867,1867,1,7,3,1955,1,303,0,1,0,0
167,8,325624,2007,2007,300,1582,1610,2161,1,8,1,2007,3,789,1,1,1,1
168,7,183500,2004,2004,0,840,840,1720,2,7,1,2004,2,440,0,1,1,0
169,8,228000,1981,1981,653,1686,1707,1707,2,6,1,1981,2,511,0,1,0,0
170,5,128500,1941,1950,0,720,854,1382,1,7,0,1991,2,660,0,0,0,0
171,6,215000,1960,1960,112,1080,1656,1656,1,7,2,1960,2,528,0,0,0,0
172,7,239000,1987,1987,0,1064,1064,1767,2,5,1,1987,2,504,0,1,1,1
173,6,163000,1961,1961,491,1362,1362,1362,1,6,1,1961,2,504,0,0,0,0
174,6,184000,1986,1986,132,1606,1651,1651,2,7,1,1986,2,616,0,0,0,0
175,6,243000,1950,2001,0,1202,2158,2158,2,7,1,1950,2,576,0,0,0,0
176,6,211000,1988,1989,268,1151,1164,2060,2,8,1,1988,2,521,0,1,1,1
177,5,172500,1958,1958,0,1052,1252,1920,2,8,1,1958,2,451,0,1,0,0
178,9,501837,2008,2009,748,2216,2234,2234,2,9,1,2009,3,1166,0,0,1,1
179,5,100000,1923,2006,0,968,968,968,1,5,0,1935,2,480,0,1,0,0
180,6,177000,2000,2000,456,756,769,1525,2,5,1,2000,2,440,0,1,1,1
181,7,200100,1920,1950,0,793,901,1802,1,9,1,1920,1,216,0,0,0,0
182,5,120000,1957,2006,98,0,1340,1340,1,7,1,1957,1,252,0,0,1,0
183,7,200000,2003,2003,0,1362,1362,2082,2,6,0,2003,2,484,0,0,1,0
184,5,127000,1908,1991,0,504,936,1252,1,5,0,1986,2,576,0,0,1,0
185,10,475000,1892,1993,0,1107,1518,3608,2,12,2,1993,3,840,0,1,0,0
186,7,173000,1990,1991,0,1188,1217,1217,2,6,0,1990,2,497,0,0,1,1
187,5,135000,1916,1987,0,660,808,1656,2,8,0,1916,1,180,0,0,0,0
188,5,153337,1979,1979,275,1086,1224,1224,0,6,2,1979,2,528,0,0,0,1
189,8,286000,2001,2002,0,1593,1593,1593,1,5,1,2001,2,682,0,1,1,1
190,8,315000,1932,1994,0,853,1549,2727,2,10,2,1932,2,440,0,1,0,0
191,7,184000,1972,2004,138,725,725,1479,1,7,0,1972,2,484,0,0,0,0
192,7,192000,1999,1999,0,1431,1431,1431,2,6,0,1999,2,666,0,1,1,1
193,7,130000,2004,2004,50,970,970,1709,2,7,0,2004,2,380,0,1,1,0
194,5,127000,1972,1972,0,864,864,864,1,5,0,1989,1,352,0,0,0,0
195,6,148500,1976,1976,0,855,855,1456,2,7,1,1976,2,440,0,0,0,0
196,7,311872,2007,2007,205,1726,1726,1726,2,8,1,2007,3,786,0,0,1,1
197,8,235000,1918,1990,0,1360,1360,3112,2,8,1,1918,2,795,0,1,1,1
198,6,104000,1912,1950,0,755,929,2229,1,8,0,1927,0,0,0,0,0,0
199,8,274900,2004,2005,262,1713,1713,1713,2,7,1,2004,3,856,1,1,1,1
200,4,140000,2003,2004,0,1121,1121,1121,2,5,0,2003,2,440,0,0,1,0
201,6,171500,1977,1977,0,1196,1279,1279,2,6,2,1980,2,473,0,0,0,0
202,6,112000,1924,1950,0,617,865,1310,2,6,0,1924,1,398,0,0,0,0
203,6,149000,2004,2004,205,848,848,848,1,3,1,2004,2,420,0,1,1,1
204,5,110000,1947,1950,0,720,720,1284,1,5,0,1948,1,240,0,0,0,0
205,7,180500,1990,1990,0,1424,1442,1442,2,5,0,1990,2,500,0,0,1,0
206,5,143900,1962,1962,0,1140,1696,1696,1,8,1,1962,1,349,0,0,0,0
207,4,141000,1960,1960,0,1100,1100,1100,1,6,1,1960,1,312,0,0,1,0
208,7,277000,1988,1989,128,1157,1180,2062,2,7,1,1988,2,454,0,1,0,1
209,6,145000,1964,1964,260,1092,1092,1092,1,6,0,1964,2,504,0,0,0,0
210,5,98000,1925,1950,0,864,864,864,1,5,0,1927,0,0,0,0,0,0
211,6,186000,2009,2009,0,1212,1212,1212,2,6,0,2009,2,460,0,0,1,1
212,7,252678,2009,2009,0,900,932,1852,2,7,1,2009,2,644,0,0,1,1
213,5,156000,1995,1995,0,990,990,990,1,5,0,1996,2,576,0,0,1,0
214,6,161750,1977,1977,153,689,689,1392,1,6,0,1977,1,299,0,0,0,1
215,5,134450,1957,1996,64,1070,1236,1236,1,6,1,1957,1,447,0,0,0,0
216,7,210000,2004,2004,266,1436,1436,1436,2,8,0,2004,2,484,0,1,1,1
217,4,107000,1925,1950,0,686,810,1328,1,8,0,1940,1,210,0,0,0,0
218,7,311500,1939,2006,312,798,1137,1954,1,8,2,1939,2,431,0,1,0,0
219,7,167240,2005,2006,16,1248,1248,1248,2,5,0,2005,2,438,0,1,1,1
220,7,204900,2006,2006,0,1498,1498,1498,2,5,0,2006,2,675,0,1,1,0
221,6,200000,2002,2002,0,1010,1010,2267,2,8,1,2002,2,390,0,1,1,0
222,6,179900,1975,1975,0,713,811,1552,2,6,1,1975,2,434,0,0,0,0
223,4,97000,1971,1971,0,864,864,864,1,4,0,1989,2,576,0,0,0,0
224,10,386250,2003,2003,922,2392,2392,2392,2,8,1,2003,3,968,1,0,1,1
225,5,112000,1971,1971,142,630,630,1302,2,6,0,1991,1,280,0,0,0,0
226,7,290000,1995,1995,290,1203,1214,2520,2,9,1,1995,3,721,0,1,1,1
227,6,106000,1970,1970,127,483,483,987,1,5,0,1987,1,280,0,0,0,0
228,5,125000,1967,1967,0,912,912,912,1,5,1,1974,1,336,0,0,0,0
229,7,192500,2005,2006,16,1373,1555,1555,2,7,1,2005,2,430,0,1,1,1
230,6,148000,1959,1959,220,1194,1194,1194,1,6,0,1959,1,312,0,0,0,0
231,8,403000,1995,1996,506,1462,1490,2794,2,9,1,1995,3,810,0,1,1,1
232,6,94500,1972,1972,297,483,483,987,1,5,1,1972,1,288,0,0,0,0
233,5,128200,1976,1976,0,894,894,894,1,5,0,1976,1,308,0,0,0,0
234,6,216500,2002,2002,0,860,860,1960,2,8,2,2002,2,440,0,1,1,1
235,6,89500,1971,1971,604,483,483,987,1,5,0,1971,1,264,0,0,0,0
236,7,185500,2004,2004,98,1414,1414,1414,2,6,0,2004,2,494,0,1,1,1
237,7,194500,1993,2003,0,996,1014,1744,2,7,0,1993,2,457,0,1,1,0
238,8,318000,2007,2007,254,1694,1694,1694,2,7,0,2007,3,818,1,0,1,0
239,6,113000,1945,1950,0,735,798,1487,1,7,1,1949,1,220,0,0,0,0
240,8,262500,2008,2008,36,1566,1566,1566,2,7,0,2008,2,750,0,1,1,1
241,5,110500,1945,1997,0,686,866,866,1,4,0,1927,0,0,0,0,0,0
242,5,79000,1900,1950,0,540,889,1440,1,6,0,1940,1,352,0,0,0,0
243,6,120000,1980,1980,0,626,626,1217,1,6,1,1980,1,288,0,0,0,0
244,7,205000,1994,2002,0,948,1222,2110,2,8,2,1994,2,463,0,1,1,1
245,7,241500,1988,1988,102,1845,1872,1872,2,6,1,1988,2,604,0,0,0,1
246,6,137000,1910,1950,0,1020,908,1928,2,9,0,1910,1,440,0,0,0,0
247,6,140000,1954,1954,0,1367,1375,1375,1,5,1,1954,2,451,0,0,0,0
248,7,180000,2003,2003,101,840,840,1668,2,8,0,2003,2,500,0,1,1,0
249,6,277000,1958,2006,472,1444,1444,2144,2,7,2,1958,2,389,0,1,0,0
250,3,76500,1940,1966,0,728,1306,1306,1,6,0,1927,0,0,0,0,0,0
251,8,235000,2006,2007,481,1573,1625,1625,2,5,1,2006,2,538,0,1,1,1
252,6,173000,2004,2004,0,798,798,1640,2,6,0,2004,2,520,0,1,1,0
253,6,158000,1964,1991,108,1302,1302,1302,2,7,0,1964,1,309,0,0,0,0
254,5,145000,1957,1957,0,1314,1314,1314,1,5,0,1957,1,294,0,0,0,0
255,7,230000,1999,1999,302,975,1005,2291,2,8,1,1999,2,429,0,1,1,0
256,6,207500,2003,2003,0,864,864,1728,2,7,0,2003,2,673,0,1,1,0
257,7,220000,2006,2006,180,1604,1604,1604,2,8,1,2006,2,660,0,1,1,1
258,7,231500,2001,2001,172,963,963,1792,2,7,1,2001,2,564,0,1,1,1
259,5,97000,1956,1956,0,0,882,882,1,4,0,1956,1,308,0,0,1,0
260,6,176000,1962,1962,399,1362,1382,1382,1,6,1,1991,2,884,0,0,0,0
261,8,276000,2007,2007,270,1482,1482,2574,2,10,1,2007,3,868,0,1,1,0
262,6,151000,1977,1995,46,506,1212,1212,1,6,1,1978,2,492,0,0,0,0
263,5,130000,1929,2001,0,926,926,1316,1,6,0,1974,2,484,0,0,0,0
264,5,73000,1925,2004,0,680,764,764,1,4,0,1965,2,504,0,0,0,0
265,6,175500,1981,1981,210,1422,1422,1422,2,7,1,1981,2,576,0,0,0,1
266,6,185000,1997,1997,0,802,802,1511,2,8,1,1997,2,413,0,0,1,1
267,5,179500,1939,1997,0,720,1052,2192,2,8,1,1939,1,240,0,0,1,0
268,5,120500,1940,1955,0,740,778,778,1,4,1,1966,1,924,0,0,0,0
269,6,148000,1976,1976,174,1143,1113,1113,1,6,1,1987,1,504,0,0,0,0
270,8,266000,2006,2006,0,1095,1095,1939,2,8,1,2006,3,1053,0,1,1,0
271,7,241500,1954,2005,0,1385,1363,1363,1,5,2,1954,2,439,0,0,0,0
272,8,290000,1999,2007,348,1152,1164,2270,2,9,1,1999,3,671,0,1,1,1
273,6,139000,1958,1988,183,1240,1632,1632,2,6,1,1958,1,338,0,0,0,0
274,5,124500,1982,1982,0,816,816,816,1,5,0,1982,1,264,0,0,0,0
275,7,205000,1925,2007,0,952,952,1548,2,5,0,1978,2,672,0,1,0,0
276,7,201000,2003,2003,0,1560,1560,1560,2,7,0,2003,2,573,0,1,1,0
277,4,141000,1951,1951,0,864,864,864,1,4,0,1951,2,400,0,0,0,0
278,9,415298,2006,2007,315,2121,2121,2121,2,8,1,2007,3,732,1,0,1,0
279,7,192000,1977,1977,299,1160,1156,2022,2,8,1,1977,2,505,0,0,0,0
280,7,228500,1989,1989,340,807,1175,1982,2,7,1,1989,2,575,0,1,0,1
281,6,185000,2006,2006,68,1262,1262,1262,2,5,0,2006,2,572,0,1,1,1
282,7,207500,2007,2008,166,1314,1314,1314,2,6,1,2008,2,626,1,1,1,1
283,8,244600,2008,2009,72,1468,1468,1468,2,6,1,2008,3,898,0,1,1,0
284,6,179200,1992,1992,0,1575,1575,1575,2,5,0,1992,2,529,0,1,1,1
285,7,164700,2006,2007,0,625,625,1250,2,5,0,2006,2,528,0,1,1,0
286,6,159000,1962,1981,0,912,1085,1734,1,7,1,1962,2,440,0,0,0,0
287,4,88000,1971,1971,0,858,858,858,1,5,0,1927,0,0,0,0,0,0
288,5,122000,1967,1967,31,882,900,900,1,5,0,1970,1,280,0,0,0,0
289,6,153575,1915,2003,0,698,698,1396,1,7,0,2003,1,384,0,0,0,0
290,8,233230,2006,2006,0,1079,1079,1919,2,8,1,2006,2,685,0,1,1,0
291,5,135900,1912,2000,0,780,936,1716,2,9,0,1927,0,0,0,0,1,0
292,5,131000,1949,2008,0,768,1148,1716,1,8,1,1949,1,281,0,0,0,0
293,7,235000,1977,1994,34,795,1468,2263,2,9,1,1977,2,539,0,0,0,0
294,6,167000,1953,1953,238,1416,1644,1644,1,7,2,1953,2,418,0,0,0,1
295,6,142500,1984,1984,0,1003,1003,1003,1,6,0,1984,2,588,0,0,0,1
296,5,152000,1950,1950,0,910,910,1558,1,6,0,1950,1,282,0,0,0,0
297,7,239000,1997,1998,1600,975,975,1950,2,7,1,1997,2,576,0,1,1,0
298,6,175000,1968,1968,365,702,1041,1743,1,7,1,1968,2,539,0,1,0,0
299,6,158500,1950,2004,0,1092,1152,1152,1,6,1,1950,1,300,0,0,0,0
300,5,157000,1953,1953,56,1165,1336,1336,1,5,2,1953,1,375,0,0,0,0
301,8,267000,1998,1999,0,1028,1210,2452,2,9,1,1998,2,683,0,1,1,1
302,7,205000,2001,2002,150,1541,1541,1541,2,6,1,2001,3,843,0,1,1,0
303,5,149900,1972,1972,0,894,894,894,1,5,0,1975,2,552,0,0,1,0
304,7,295000,1880,2002,0,1470,1675,3493,3,10,1,2003,3,870,0,0,0,0
305,8,305900,2004,2005,246,2000,2000,2000,2,8,0,2004,3,888,0,1,1,1
306,7,225000,1990,1991,246,700,1122,2243,2,8,1,1990,3,746,0,1,0,0
307,6,89500,1920,1950,0,319,1035,1406,1,6,0,1927,0,0,0,0,0,0
308,4,82500,1940,1950,0,861,861,861,1,4,0,1961,2,539,0,0,0,0
309,9,360000,2003,2004,0,1896,1944,1944,2,8,3,2003,3,708,1,1,1,1
310,6,165600,1993,1994,112,697,697,1501,2,6,1,1993,2,420,0,0,1,0
